sector;province;2014-09;2015-09;2015-08;2014-10;2015-10;2014-11;2015-11;2014-12;2015-12;2015-01;2016-01;2015-02;2016-02;2015-03;2016-03;2015-04;2016-04;2015-05;2016-05;2015-06;2016-06;2015-07;2016-07;2016-09;2016-08;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2019-01;2018-12;2019-02;2019-03;2019-04;2019-05;2019-06;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-07;2020-06;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-12;2021-11;2022-01;2022-02;2022-03;2022-04;2022-06;2022-05;2022-08;2022-07;2022-09;2022-10;2022-11;2022-12;2023-01;2023-02;2023-03;2023-04;2023-05
 Çelik;ADANA;4949.8372;4306.57752;4206.2552;6787.20488;4811.13185;4728.80142;3981.92171;5308.33418;6466.88105;5394.15189;5594.50298;6141.00735;5616.97939;5906.9063;5154.23032;9506.22826;7908.33689;8432.33432;5827.75017;5285.46344;6461.35555;5905.98357;2754.3014;4324.84797;6311.74101;3720.25569;6332.61482;4027.25142;5874.30328;5619.4455;4917.80367;4989.20963;5753.10864;4716.28686;4452.3192;6924.85967;5116.26984;7119.61347;6790.0832;6790.0832;6085.02396;5932.84351;6295.61001;6879.06405;11720.34177;10947.05708;6017.28641;6178.8941;6270.39682;6361.32545;6935.33624;5963.44064;5660.36935;4280.33836;5596.49956;6511.49878;6943.28138;4786.49295;7198.18738;5494.27713;8083.44057;9163.59459;6644.94579;7061.22883;6496.21179;6137.56084;7731.44237;4239.46816;5890.0174;5915.72762;7347.8661;5118.76761;9139.76037;6876.35723;6374.94604;6438.88072;7288.58119;7100.21016;8105.02863;7127.60786;8762.71346;10390.73546;7211.63148;10888.68862;10446.05891;10010.00981;12786.02917;10873.231;9962.95768;13560.88847;15300.03632;15977.43728;18578.40086;14094.7853;9718.31095;8961.7935;15636.45847;9483.185;9518.62275;12086.57523;8770.3539;7738.79143;9981.32835;10581.67658;12726.69741
 Çimento Cam Seramik ve Toprak Ürünleri;ADANA;4114.13456;1284.50229;1965.40394;4260.99711;2234.91046;2663.21964;2404.60508;2967.07749;2124.82969;1984.76678;1312.73249;2234.72444;1791.50844;3546.3764;2841.10246;2876.90477;1864.39768;2351.0723;2691.41559;2780.58306;3173.86738;3048.66397;1498.94123;2250.42611;3153.30475;2136.62439;2186.49656;1993.40942;1635.67959;2716.52183;2604.58874;2647.24917;3498.0301;3422.96416;1701.09749;3084.67826;2699.18366;3685.34799;5250.31607;5250.31607;3055.82836;2937.19065;3885.96887;4880.41941;5601.11369;4775.44528;4819.34995;3606.19238;3296.86803;1654.5688;2455.36349;4507.34196;5741.26923;3108.97188;5377.28474;5035.54034;4743.38618;1722.72125;4282.60653;2382.53714;3313.1678;4519.06511;6926.09067;3883.38434;4418.20892;3275.85956;4708.75851;2567.72375;893.51722;837.88975;764.59614;804.00843;861.04765;1318.60689;994.42893;1630.25138;1243.12454;1222.41451;842.79287;966.71457;409.0128;799.31588;767.86918;612.77066;814.97966;811.9626;590.63394;907.90855;716.85098;774.0528;974.92292;980.77334;1567.50541;881.61746;1152.29305;918.5055;907.95541;1051.92011;1203.88821;906.66713;730.79494;915.50854;1329.7697;1245.79294;1250.35905
 Demir ve Demir Dışı Metaller ;ADANA;1962.22581;1833.51264;2290.17847;1989.42186;2472.09087;2731.98575;2416.17786;1904.5069;2469.74597;2244.96638;2110.77537;1980.05127;2058.45934;2538.52271;1988.3751;2791.38059;2339.84063;1759.76543;2167.29493;2273.67178;2312.59418;2675.01822;1524.86478;2778.50427;2328.0625;2680.63589;3715.33443;3694.33548;1997.84166;2011.88032;3367.882;3221.42316;3306.30585;2612.43906;2499.37028;3930.30084;1994.2993;2813.1053;3471.43366;3471.43366;2160.4257;2761.93409;3284.10094;3218.45918;3566.8785;3022.67566;2766.2033;2168.14306;3427.17461;3175.82772;4069.31573;3829.25661;3472.71282;3620.76437;3662.13938;4503.52616;5975.9837;3864.10468;5531.77192;4079.75968;4638.08111;5744.46662;5644.55313;5323.57657;5481.94909;5541.38472;4583.82637;3849.88685;3916.98754;5597.34957;4881.49497;5184.67939;5034.76438;5662.92874;5540.83157;6449.34235;5620.34048;5361.1595;7093.2996;6547.4437;5472.41089;6859.09681;5462.32847;7631.50654;6847.88832;8923.82303;8805.56577;8037.03159;7597.98622;9617.73966;12867.18057;11234.11146;9846.49276;10024.73474;9510.81481;7599.89617;9252.91609;9774.28879;8565.1919;8530.76094;7312.55724;6304.33231;9785.83292;6851.78297;8351.49596
 Deri ve Deri Mamulleri ;ADANA;309.40794;381.47399;261.74886;188.53689;173.19728;226.83633;111.98325;185.03009;260.70585;283.77225;253.42389;283.9698;406.59454;407.58769;574.83206;450.69405;261.09909;400.81043;166.67364;266.86153;568.41637;330.96132;656.11557;418.99139;1161.58439;132.17586;186.1161;266.87565;530.10677;160.56724;301.17396;180.22904;797.04539;128.09678;462.82132;492.10401;392.25319;343.81564;425.05649;425.05649;1344.79574;1123.38896;989.63905;606.86114;1260.25086;871.61533;918.55704;764.34244;606.62002;397.92428;306.79483;1256.69401;441.6175;932.73121;778.35597;414.13337;1495.48991;945.88916;1276.27096;1198.49297;1287.86622;451.01797;309.88017;816.59328;1394.676;818.20469;680.00213;249.5392;697.85298;829.29164;1182.75905;821.03441;835.86928;398.13822;892.45252;1262.51665;918.72321;1464.82989;1075.66833;838.48733;942.87444;1405.78633;1183.8788;1142.19307;690.02278;513.03724;1397.6392;511.52909;883.68574;1522.14273;1343.09869;807.40734;953.33394;590.68892;1547.86485;1182.75785;1721.49035;1299.07526;861.99716;1181.57858;1233.93816;1099.00396;1913.04635;619.04486;630.06171
 Diğer Sanayi Ürünleri;ADANA;32.96804;15.33346;116.97136;22.99935;16.56683;8.10948;102.47381;17.74093;4.44522;1.43684;1.91135;3.9347;7.50047;71.67163;498.99734;251.24896;295.4577;278.7838;115.29631;177.30024;269.58551;82.27095;83.70641;10.59686;49.72351;16.1862;18.29063;26.82349;4.44489;65.6857;173.5624;227.23227;277.01309;123.04094;262.16282;6.15483;51.44094;13.7785;16.68028;16.68028;37.68764;27.86688;547.48882;398.27929;323.80947;24.69035;64.7112;9.58875;5.47097;10.57901;29.53721;5.29198;8.44816;163.69898;28.58429;109.02444;76.82514;93.5012;54.84953;20.43514;4.73289;61.50855;29.15322;49.58419;41.39003;93.0905;61.77906;105.72677;110.75906;53.52069;89.46539;27.5082;130.10176;170.29075;61.19325;157.86464;23.90636;7.29509;120.07217;94.09943;60.52517;125.37611;218.77927;66.08864;18.24991;74.87119;60.22583;202.12912;8.49726;11.07684;133.92913;172.65692;35.52915;157.34631;71.44368;58.59217;21.3414;96.6794;170.57097;60.60889;25.71561;78.36676;39.49365;122.43809;142.78382
 Elektrik ve Elektronik;ADANA;3664.86375;1452.68506;2935.98762;3351.93917;2033.15098;2767.25181;2114.70691;3835.0635;1738.68206;2994.99791;2156.04621;2038.95485;2084.70458;2509.63621;3175.3531;3464.9493;3606.04111;2550.83156;2329.69281;2776.3522;2677.33047;1820.21423;1539.78188;2497.43317;2798.93434;4142.35197;1513.04148;3072.9275;1885.94132;1455.49561;3016.23048;2041.99578;2348.1128;1855.5019;1537.06791;3196.71115;1935.84237;2784.27017;3217.63865;3217.63865;3045.34721;3114.45731;5081.84426;4424.51694;3468.81189;3020.82624;3722.80985;3293.61042;2686.66843;3278.08085;3184.81964;3198.11249;3519.81747;2621.12066;3716.82672;2238.88707;2261.74571;1360.08379;2970.24213;3083.37949;2745.93201;3033.72147;2768.83179;2984.27158;2886.84887;4384.07443;2398.58121;2252.89124;4320.09036;3784.72702;3230.85903;1479.12444;2188.09909;3174.8887;2373.99769;2116.68864;2530.35451;2796.83782;2700.33458;2517.55202;2256.79868;3866.44671;2348.33097;2319.17775;3014.23401;2627.85242;3024.6792;3326.72514;1276.89712;3786.65188;3095.38165;6227.94869;4068.23534;4421.95162;3653.74142;2672.56783;4056.58379;6397.69712;5041.00282;8910.04023;6361.9539;4341.75228;7737.90562;7062.11017;5971.5916
 Fındık ve Mamulleri ;ADANA;44.06383;142.41294;0.0;151.1416;162.81744;279.07842;164.81389;112.72622;138.04777;3.58617;96.25567;52.63888;168.49998;159.75952;69.08666;54.67211;67.49717;280.82995;103.95058;54.34984;122.58487;0.0;74.43884;131.4041;18.52057;162.02195;46.04068;199.64417;132.03752;171.90382;137.62647;60.01733;158.77867;83.72178;72.06831;89.93351;81.11504;140.57132;18.16101;18.16101;69.50276;66.80548;100.85737;124.25774;126.26205;79.82451;109.65209;39.29915;175.54071;68.52698;81.36037;116.45371;82.90897;89.68247;61.19684;41.21937;174.45144;30.875;84.98166;55.63026;217.52571;64.75972;107.57855;149.64517;80.41631;109.09383;47.87741;90.64687;49.3062;51.32292;44.41563;35.28821;92.68395;121.59472;125.35397;60.04469;111.74327;73.77308;61.48883;194.9216;99.97354;307.78021;78.87403;163.59313;461.14382;319.50841;162.6843;106.33576;89.96092;92.5216;173.03928;113.08119;82.95274;82.17427;150.54122;2.48676;118.22731;325.61626;136.34586;138.15639;149.96539;60.52272;129.55609;79.54693;130.97367
 Gemi, Yat ve Hizmetleri;ADANA;0.0;2.41358;4.0932;1.89808;0.0;0.0;5.71047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.78069;0.19043;2.03892;4.0383;1.41362;1.96021;0.0;0.0;6.78827;0.0;5.3048;0.59949;0.0;0.0;0.0;22.54;0.01696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42074;0.42074;0.0;0.0;0.53567;0.0;0.06417;0.00956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.10572;0.00991;0.0;0.59588;10.23343;0.0;0.0;0.2115;0.12002;0.01003;0.0;0.33119;0.0;8.4277;12.79597;0.0;0.0;0.78659;0.0;0.6764;3.39699;0.0;0.0;0.10209;0.0;1.27888;0.0;0.0;0.0;0.45822;11.06243;8988.58484;0.0;0.0;12.28419;18.84385;1.96995;0.0;0.43594;10.17294;0.0;0.8052;0.0;0.0;0.0;0.0;0.0;0.0;0.0
 Halı ;ADANA;454.46343;409.92968;525.48366;396.86;313.24323;148.07533;230.11286;511.05773;400.93829;262.88903;236.63216;179.17371;78.72893;439.29213;154.49022;277.36747;45.07736;266.65343;41.43678;493.67534;85.77214;218.47989;42.11344;201.91053;42.29948;97.4268;144.33603;224.81694;79.25981;350.37805;234.06801;168.79576;91.53215;333.93866;67.77435;117.74512;125.89847;401.3775;370.89971;370.89971;379.64197;257.17906;688.52582;387.83216;431.85682;279.32777;346.1557;213.68235;386.03556;412.59055;98.76355;136.56394;135.45455;22.53524;454.74036;269.83312;473.69787;348.59893;346.05933;105.79498;377.96696;499.8261;627.78134;152.15002;196.01675;133.75503;129.47101;93.80278;91.5657;246.14715;210.3746;73.33478;424.11758;254.5952;189.08084;128.89991;27.89045;137.95077;174.58089;190.26004;159.89986;194.97395;155.66262;117.62166;188.31371;166.64145;313.92509;291.37414;257.19857;308.42047;66.18683;164.51779;259.18724;89.47455;163.87778;153.18994;231.27409;154.11901;107.06086;179.58639;78.57896;19.17585;312.03114;194.60817;172.64011
 Hazırgiyim ve Konfeksiyon ;ADANA;8156.63485;7188.83752;7858.32601;7065.90402;7249.79696;7504.7605;8487.07512;7587.08241;9055.1383;6071.84576;9928.7224;5540.64649;10756.7305;4854.7438;7912.62538;4592.08862;6840.23803;6258.97807;9271.17615;7260.33691;8097.26235;7826.01802;6911.20559;8195.10551;8477.53516;8676.35151;7965.26235;10246.8992;7945.54922;6795.24881;7734.74154;10477.07376;10625.36507;10681.57492;11515.24487;11613.78354;11038.62587;9824.99381;10606.3526;10606.3526;8816.10864;10162.87446;14140.55211;11584.6077;13625.63486;11853.11276;13887.41018;11188.59633;16058.06704;16097.73225;11707.78586;12701.5383;8770.39726;11226.72933;13365.86601;13267.70869;16415.73493;11273.42963;14972.60336;13238.13229;11967.50013;11755.6097;10449.42949;10811.27996;10975.31266;11812.4349;9711.30992;6683.93599;20628.71661;41536.97273;40737.18142;23860.07292;19697.45597;13584.66155;9379.98057;9852.21112;10344.30429;9157.59194;12866.62103;13530.86454;8103.88319;11598.72658;12803.96359;13894.5569;15191.30431;15066.5728;9934.41622;9662.62282;6741.7959;8465.30666;13785.05259;13720.71795;14262.66466;12284.84943;14815.66995;11529.85358;14850.2815;13127.32415;8756.38477;9019.17911;9947.65142;7635.41353;14001.80517;12935.61722;11804.82837
 Hububat, Bakliyat, Yağlı Tohumlar ve Mamulleri ;ADANA;16696.81776;14272.53578;14447.6653;16542.60022;19233.37395;18597.087;17981.13033;18532.61253;12570.90642;17358.56412;10448.85257;14240.8886;11850.90778;16435.27871;14722.83649;15802.12435;9350.45865;12491.94347;10100.54319;13504.10523;9726.72377;12386.91413;9067.17929;12835.4952;13603.53661;10723.94145;19504.43331;13724.77407;12284.02861;13920.76176;14718.3621;12468.12387;15685.85375;15569.20904;16991.15537;15793.36518;16537.80246;18271.59859;25706.56062;25706.56062;22726.34232;19582.74782;18092.49449;16467.63042;19811.89995;14589.48488;18406.84533;19570.36556;16254.81404;24097.25483;29407.03587;20716.51559;20076.26504;19114.18079;18907.53769;20942.1296;19810.99406;13637.453;22334.49298;20612.63112;17804.80736;35237.40907;20648.02187;21297.2555;22613.21645;19197.05847;23343.13255;20477.08213;12572.52441;15000.17856;13815.53607;20335.37777;17328.0241;25779.59641;26419.4348;27343.16411;27330.44181;22943.8287;24514.84353;22370.24687;22856.69965;23778.27539;22001.46403;26102.77498;22359.522;34759.07292;32591.77206;43710.85867;26094.28155;25514.60191;31700.2375;27980.37067;27581.39692;25794.7056;28917.06128;30709.4844;24933.88273;25769.2158;43504.07401;41367.99971;33731.81917;27576.53956;28275.12513;23081.46373;27477.54254
 İklimlendirme Sanayii;ADANA;3760.2592;2539.78707;3174.42345;3648.18786;3832.50574;3316.63988;3153.43195;4188.11442;3037.83004;2438.0685;2133.9281;2726.23507;1770.0142;2998.8361;3188.26392;4084.88015;3025.0462;2582.81504;4440.8062;3322.68337;3311.07353;2929.31118;2293.3871;2696.72266;3780.58931;3415.00556;3405.62936;2656.22545;2188.25501;3114.84381;3692.66426;3110.55835;2894.27201;2920.88526;2391.22088;3923.02696;3190.3406;3631.028;3078.15965;3078.15965;2382.73613;4454.55754;3793.93492;3636.90819;3212.66422;2643.24378;3693.89924;3126.90701;4299.77463;4467.26123;4006.15377;3660.58188;4449.17087;4468.88237;4052.65374;3886.54819;4937.87021;2597.00006;3946.8925;3679.82127;4639.69344;6464.61113;5841.43395;5824.70797;4714.94648;4427.24111;4232.80351;4182.97646;4380.537;3954.24523;3353.15085;3079.29088;4492.15538;4403.43017;4256.3708;4337.55854;3485.22078;4478.77525;5934.49637;7266.989;4119.41097;5965.28761;4521.83062;6170.67144;5445.56795;5275.50216;5173.92436;5825.36181;3749.44881;4469.22928;5154.43687;3696.39094;5842.71242;5235.12282;3717.30956;3337.94152;6462.31104;4412.84687;10643.03156;7143.89395;3848.3446;3266.71129;5698.6014;4578.97712;5965.39066
 Kimyevi Maddeler ve Mamulleri  ;ADANA;26293.98305;24163.92479;22359.74503;26097.22793;19796.19031;22046.78224;21150.67138;23332.90837;24227.26219;21000.32938;17782.16175;20244.47339;20435.1817;23390.33144;20905.05396;20928.57252;21965.48153;24232.08158;22744.92691;25831.93458;27665.56497;26161.20869;16780.98995;23876.99745;25435.55413;23336.69753;21513.15801;21389.44032;20119.59892;21475.87824;25483.83911;23474.17665;25694.64053;22234.97869;23130.9832;30548.78708;26138.07915;26948.50738;26453.86991;26453.86991;24253.19628;23175.07612;30252.38878;28519.73944;28355.02913;25886.75836;27098.02938;26932.85968;29371.32747;31547.7921;29451.12775;26284.30507;26811.15474;28570.77559;28193.79954;28274.99903;30974.93422;22264.10933;26010.54025;21821.03716;25882.31922;27667.77649;21879.49849;27514.6976;24157.36587;22917.41543;28252.51449;24793.26676;20061.92555;22507.7314;28167.83866;23489.66389;24926.05504;23553.32329;22467.9627;32455.47185;25645.83143;33892.99757;42668.49087;39401.14029;39033.23522;41418.70995;41218.14487;47197.51532;47802.46847;40657.79111;51852.10196;48217.80655;46523.41114;49739.6753;65540.72244;61544.98391;71807.9999;60502.63514;65588.86005;68375.01822;58179.69094;47047.12494;39279.81652;44491.54427;50757.21255;48274.08368;41164.10459;47669.36537;49198.33155
 Kuru Meyve ve Mamulleri  ;ADANA;146.7672;278.55119;65.94924;421.09708;413.15915;393.72369;312.19179;254.9978;375.20121;198.67557;266.60599;160.27886;319.70027;249.78516;244.90541;264.99912;379.43234;256.76607;395.61927;236.7738;177.40451;103.75996;134.01417;243.04497;294.49391;339.34028;284.7974;357.03579;261.1455;341.96021;337.75335;267.06019;375.67059;152.72188;242.33178;269.2288;325.87638;521.46785;383.66084;383.66084;464.09803;379.72217;211.22566;287.16826;418.45691;266.20905;203.45789;175.06572;353.59033;365.8803;292.31336;339.30268;308.99927;429.29475;173.11015;401.51961;274.52771;152.71538;127.55264;88.15177;328.08443;302.23662;306.58076;411.36884;134.16578;446.71004;170.77262;138.86387;186.50413;167.82535;131.03574;54.34267;318.49454;199.82911;491.9549;199.369;302.77934;287.19444;274.00802;146.76225;247.82798;193.67312;106.88344;109.24306;536.86141;328.7642;298.24049;445.71465;274.22032;404.15263;416.20659;419.27001;343.63697;136.41006;416.33131;117.34932;356.38465;324.20219;577.51828;469.66783;368.7636;219.80884;419.81307;260.8196;351.46766
 Madencilik Ürünleri;ADANA;2578.50371;722.45755;1486.22593;2548.89766;535.74898;1216.94467;534.19058;4614.52443;737.03119;3310.90066;564.24575;2601.6188;752.3969;2681.80688;653.97612;2226.9209;1092.78172;998.22408;952.10886;2129.81572;646.1646;1113.78692;921.74935;853.60687;1161.46004;876.86639;913.35768;3940.39803;2947.40906;3592.38651;1155.7444;4420.30699;3195.87327;1772.47108;3530.39056;7287.36145;3149.04508;5386.75792;3574.28192;3574.28192;3934.60352;2983.62213;8083.3404;748.88745;8234.94891;1566.33586;7973.45703;3038.0894;1148.76289;1604.36419;1745.62387;1225.19819;1815.80161;508.18186;5957.78608;909.05698;2461.70266;1151.44713;895.71788;772.90223;1724.70325;1850.9385;2862.25557;1128.7297;1048.10792;953.96445;1197.04724;1562.71249;856.04861;410.47904;801.54954;217.27658;363.0101;557.57468;225.21567;426.6559;456.84698;294.77554;275.32027;433.19071;2123.54686;256.55022;270.87931;276.03486;652.00396;936.36166;848.55296;1202.12865;2058.3314;1550.82147;355.21931;285.04559;2534.15521;1455.08523;1285.74551;3447.33257;1945.75802;1965.1505;1493.98776;1097.2454;355.63673;2127.18555;568.17747;1414.21082;1357.50497
 Makine ve Aksamları;ADANA;5168.28278;4803.99214;3173.22692;2598.37127;2395.21605;2399.23347;3554.23516;3198.20079;4446.82446;3243.17031;2647.58608;3915.50279;4867.65647;2925.51016;3864.87135;3890.47031;4922.92326;3582.19127;6559.61044;3797.10761;6877.16236;2893.23233;4038.20444;1732.42266;6582.51496;3297.36394;2274.64774;4061.71671;3528.82623;2851.82823;5690.01166;7864.99007;11410.06342;9969.89815;6923.20664;6916.7376;4744.02323;3570.00209;4495.12008;4495.12008;9448.40014;4812.09551;8869.40445;8619.65103;13128.8417;4781.48695;5264.30759;5291.35478;5038.74368;7679.30155;7743.23894;7188.63763;8228.88201;7260.74512;6694.08399;7491.89366;8863.10191;6454.08374;7067.5678;4910.91417;4303.12668;5965.38453;6049.24448;5852.28635;6678.94993;9277.09395;7985.11788;5290.46081;3698.68915;6507.71455;5120.72627;5242.69341;5251.85207;5003.64557;6339.32388;8424.57446;10523.07947;9400.07325;11716.41862;13574.61822;8642.50022;8372.73113;7966.30557;6272.6139;9445.33889;7062.83932;12269.64799;8063.23013;8735.53058;10772.10063;11164.19385;15773.74788;9018.06011;8951.83342;11096.88834;8841.40229;10758.24947;12565.15216;13491.13003;12760.01994;11035.39005;9505.7362;15719.19618;8082.96787;10356.20105
 Meyve Sebze Mamulleri ;ADANA;1103.67906;1416.39247;820.03014;1457.27968;1376.03675;831.77315;898.539;1159.93212;1128.52446;642.41841;770.61464;1183.35278;820.47119;1675.52334;1704.43142;1269.0995;953.32302;1115.55611;1332.69365;1420.43624;981.25994;1326.11849;987.2278;1255.33629;1367.30518;1128.522;985.12666;1068.72337;991.31024;1237.90546;1424.4306;1367.17423;1652.0493;1009.47156;1340.571;1282.35758;1046.68354;1096.45603;1123.82688;1123.82688;1203.57925;1281.48324;1694.93022;1515.56662;1746.63834;1752.18324;1890.586;722.00972;1293.12941;1359.62854;971.89046;1232.53447;868.23094;1392.71729;1905.43756;2318.8038;1337.10091;803.73993;1446.28268;986.33393;1235.02561;1763.84237;1676.27817;1309.94007;1694.44604;1814.98976;2104.07672;1478.89677;1077.96067;1802.79962;1937.8171;1744.80953;1844.41442;1310.90916;1212.87799;1767.46228;1614.63001;2476.90632;3085.65203;2434.1868;1868.19766;3334.9189;2730.69299;3954.0878;3211.4992;2167.28024;2088.12599;2456.26912;1931.09676;2383.85653;4112.57553;4469.00895;1783.77474;3878.19668;3872.90415;2337.36636;3764.85709;3373.10528;2899.22463;2851.62978;3883.13863;3049.32901;4667.82601;3433.04738;3436.95733
 Mobilya, Kağıt ve Orman Ürünleri;ADANA;7561.15399;5300.38385;6239.49839;6636.2147;7377.34537;8086.169;8490.73543;10228.38127;6918.30226;6150.20786;6059.68106;6473.1365;6254.26389;6523.07776;5965.58996;7052.7475;7184.05569;5891.32807;6400.78482;7059.58493;8383.72029;7078.9298;5608.53146;6318.4759;6835.9519;6588.64741;8677.11447;8518.17295;5800.77391;6778.88301;8251.05717;8755.49851;7575.69911;6134.8024;5776.09957;7158.76452;5858.56352;7302.00424;7382.27891;7382.27891;6626.21645;6341.06629;9525.56201;8229.22618;7988.09411;6419.65752;7278.96072;6686.35727;6324.21048;7853.9545;10789.03387;7900.01829;10262.96799;8303.93984;8931.81882;7360.51165;10397.05261;6291.00498;9415.41612;7398.24056;10579.28699;9123.05693;11101.71206;11737.41202;7781.08413;8625.80392;6951.34586;4472.03502;7957.3015;10041.18814;9235.48;8907.99008;11951.72926;12341.71936;12690.1484;11606.95152;7470.04532;9918.69348;12687.39351;10609.0759;8503.52684;12666.51483;8291.6981;13679.69953;12554.27553;10818.67905;11187.75646;11996.95746;7704.27718;9445.64381;11120.10706;13278.73682;11834.6534;9924.94773;15111.35578;9827.63351;12842.00405;10652.38394;12324.9366;12324.37311;9292.66473;7420.88851;10383.07173;11719.04914;10845.4239
 Mücevher;ADANA;0.0;1.29985;0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6166;0.0;0.0;0.0;0.0;0.47337;0.47555;12.21032;0.0;8.33051;0.0;5.49838;28.0756;19.19716;8.196;188.27448;30.80055;0.06389;29.14166;0.35012;0.14349;2.0;12.91724;23.61037;13.09148;0.0;31.94148;54.74551;54.74551;1.13788;56.7286;19.11862;0.39031;20.41207;0.47484;0.0;0.0;0.13832;0.26232;21.61091;7.37896;8.66724;0.60669;0.64233;0.0;12.99356;0.0;41.48335;1.64126;61.97778;0.39497;0.0;10.37451;2.25874;0.74262;0.0;5.68596;0.0;0.0;0.16831;0.03193;0.16076;0.0;2.14605;12.79366;0.0;0.43202;2.62778;4.39349;0.28157;2.75139;1.31637;0.35295;123.2548;156.64317;44.61771;183.45669;3.23795;124.2138;3.61196;3.46988;0.91171;1.57987;2.3077;43.96159;0.40411;12.62354;24.02336;24.42323;2.6;23.49573;54.60866;35.75092;207.07965
 Otomotiv Endüstrisi;ADANA;12751.03654;20018.36911;11745.33447;11198.05847;14345.04733;12474.75506;14302.64249;29809.15781;21328.39269;3801.29253;5698.55972;5858.3233;5739.40393;6976.69098;10849.67011;5502.45313;16733.34125;6343.77406;22381.49718;8403.34379;12389.93353;8551.61502;7547.94577;6223.10281;19699.82365;14887.22429;14047.28208;16662.19019;2922.86587;5628.34182;14372.9891;14919.08825;19260.0638;22889.48767;11506.86312;31994.3588;20312.24421;21778.38187;21670.88976;21670.88976;4124.73031;5139.02175;7471.20658;8995.51862;10426.0724;8137.75227;12109.67149;32801.90499;7428.68232;26804.43565;16393.29032;8492.90021;22063.8413;9661.63871;6986.75986;8706.14771;14130.30668;5843.94788;20486.7118;17326.12414;7967.46308;13391.17797;14622.01112;4709.14346;3321.23223;5001.20143;4174.92801;1982.5453;4450.59607;3398.0763;6566.77755;5104.86296;8346.916;8223.36368;7894.33518;9286.32332;5142.41458;6661.11084;6151.87739;8374.27142;8029.14732;8214.53307;8689.61775;10932.65624;7856.20503;10196.92924;16103.28057;15370.29052;4877.76443;7834.73361;8594.61591;9980.96189;20064.89169;6891.93156;13935.41883;8843.28271;11033.02798;14509.21722;17927.91859;15080.13013;6328.54932;7997.90791;18180.03166;19684.98638;21100.64704
 Su Ürünleri ve Hayvansal Mamuller;ADANA;13752.04835;7719.32585;9296.53956;10636.76938;7229.97854;9846.64538;8763.96087;9724.94743;6947.05406;7225.13727;5356.82765;8731.73371;6303.11318;8407.91494;7239.32828;8473.47648;6522.48001;5282.15813;5892.76731;3124.06893;7547.26336;11674.32035;5577.32183;5776.51096;6554.69873;9080.90974;9577.06559;10572.64222;8372.80051;9776.3967;11285.91199;10316.87779;9689.51941;9556.92149;8674.86246;9379.02582;10298.1448;8711.59108;10272.09484;10272.09484;8854.15025;6857.78725;11794.14405;11488.70627;10288.19209;10272.68282;12240.05804;11056.96808;14742.29798;14047.37105;12752.30755;12369.55729;11016.63897;9682.35791;10486.0833;9932.68275;11727.67814;7564.29443;9822.3286;8216.99682;11556.75368;9716.30065;10192.27591;7225.97599;10651.36898;11888.19812;10666.5428;7359.05321;4680.63015;9575.28333;6274.128;8281.9724;10134.77223;8348.02907;7876.51671;10104.20578;9413.82967;8206.04425;9333.94547;14047.65874;14115.64437;13783.42222;9896.23563;15571.25341;14204.92785;17607.29047;13309.27462;20521.23247;13074.49861;17837.7932;20302.72553;15430.17317;13863.61072;13244.45247;16520.93625;13672.1331;15837.52284;11439.76789;13838.81865;11890.19782;11368.86065;12610.95837;10422.26662;13979.51244;13147.01692
 Süs Bitkileri ve Mamulleri;ADANA;76.2795;116.57945;123.3527;172.23482;147.0989;50.95951;178.87238;77.0993;204.09836;91.93881;17.88428;170.16766;155.69377;248.63849;163.2182;282.26139;394.90891;89.7774;159.47529;71.94502;141.9486;72.47753;122.88203;160.29581;114.6284;230.04316;128.12922;94.97468;133.46757;273.35804;501.89701;464.56933;147.12473;158.4065;97.54689;40.9873;50.32252;213.06262;224.86574;224.86574;215.47081;218.86068;544.97565;646.42506;260.40878;161.06338;58.34392;82.52347;170.2379;601.58151;251.54162;303.79946;105.66699;920.13462;1200.52534;310.42924;343.66412;181.23046;193.65537;188.58454;226.09445;223.3926;214.47719;238.03748;522.94101;249.59638;494.49781;309.43543;657.71508;88.23359;505.36809;161.44943;162.57661;393.54876;281.55828;172.11004;216.87501;214.38022;441.30459;289.83679;573.57466;263.97416;21.40475;194.09724;316.93358;256.89149;379.92168;253.27969;182.76888;147.65859;461.82152;227.3241;194.38999;370.1887;257.3268;86.83231;356.40824;683.18565;539.65662;444.36283;240.14674;496.96908;661.14766;916.93094;812.07019
