sector;province;2014-09;2015-09;2015-08;2014-10;2015-10;2014-11;2015-11;2014-12;2015-12;2015-01;2016-01;2015-02;2016-02;2015-03;2016-03;2015-04;2016-04;2015-05;2016-05;2015-06;2016-06;2015-07;2016-07;2016-09;2016-08;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2019-01;2018-12;2019-02;2019-03;2019-04;2019-05;2019-06;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-07;2020-06;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-12;2021-11;2022-01;2022-02;2022-03;2022-04;2022-06;2022-05;2022-08;2022-07;2022-09;2022-10;2022-11;2022-12;2023-01;2023-02;2023-03;2023-04;2023-05
 Gemi, Yat ve Hizmetleri;TEKIRDAĞ;0.0;0.0;0.0;0.0;15.12095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28002;0.0;0.0;0.0;0.0;0.0;0.29013;0.19791;0.0;0.0;0.0;0.0;0.0;0.0;296.32866;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;143.59787;0.0;0.0;0.0;0.0;0.0;1.45847;0.0;0.0;0.0;0.0;0.0;114.49508;17.52837;14.83828;0.33511;0.77271;13.79504;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20004;0.0;0.0;23.91908;0.0;0.0;0.0;0.01;0.0;0.16235;24.67626;0.0;17.62097;0.0;15.0422;0.0;0.0;0.0;43.32512;0.0
 Halı ;TEKIRDAĞ;264.8447;106.12806;74.03088;179.60217;54.33736;215.47641;102.76643;464.14272;54.70664;102.68593;93.37861;188.97224;193.73656;258.53918;224.03571;145.47199;235.56512;29.32918;325.40349;171.89907;172.16064;198.50754;112.33423;98.06932;120.48354;68.20936;118.50454;126.46056;202.88539;121.55806;120.72707;103.60055;112.53766;60.29915;56.72449;86.6112;51.48388;68.45333;231.84044;231.84044;223.44013;226.92787;133.55116;79.57019;115.02881;174.0578;123.38567;148.21067;117.96122;71.23756;26.84105;0.0;0.0;3.53221;0.037;0.0;0.0;0.0;9.29526;0.0;40.97897;26.67638;1.04946;10.42195;0.21968;20.4352;0.28047;0.0;0.50032;3.26267;15.15373;24.51281;3.67453;24.97842;26.10038;4.48409;43.21341;1.67745;9.56572;13.97861;0.22304;2.67949;0.225;24.49335;0.40174;72.35799;2.40366;0.59212;4.70826;26.4599;1.99593;17.41958;27.53859;4.22094;2.48518;23.36397;50.09109;0.32263;2.6337;47.339;49.14456;0.32259;20.23189;31.93061;0.0
 Hazırgiyim ve Konfeksiyon ;TEKIRDAĞ;17016.05207;11932.02146;13817.05377;15038.36329;14738.02779;16305.7949;16081.85596;13571.39706;14299.66015;12374.92394;12519.57257;8724.13562;10672.36061;9671.60726;11172.51389;11001.67423;12507.97208;10752.97961;11382.09195;13483.03939;15871.7255;17399.24921;14662.75623;16634.98649;18426.41386;16880.98044;16947.28497;13142.74548;11915.57666;11651.51952;11833.6833;9404.44502;13008.04177;14732.0104;15852.28276;15507.24566;15053.91944;15288.74926;16069.6725;16069.6725;13298.14076;11900.80478;12110.38984;13999.8471;16403.31084;12499.70182;17387.93963;16009.19149;14815.94317;15683.82121;18614.61783;13027.62693;14277.86257;11362.34274;13410.6119;13116.47597;14298.18036;10551.84127;18628.91863;15711.54536;16965.21664;16642.24877;19091.74913;15349.89101;14998.01525;13859.56883;13529.7663;6246.69655;7873.34388;16876.57707;11101.34903;15772.84098;17798.70612;19575.5821;18581.58674;17823.78573;15222.76567;12268.65751;14098.0315;13786.65522;11987.07276;16359.5521;16562.87122;19939.77267;20506.85034;19228.34772;15792.4108;17493.82598;14032.65151;17017.4652;15915.9563;21375.19168;20465.04313;12616.74161;23134.17467;15909.437;21072.00749;17997.19418;19223.02469;19413.40082;20146.21497;17644.5017;20701.44282;14916.5878;18391.12848
 Hububat, Bakliyat, Yağlı Tohumlar ve Mamulleri ;TEKIRDAĞ;350.50368;101.88324;66.82118;526.44514;621.56817;1010.03252;385.17139;910.61273;288.67616;655.15596;342.16758;374.19242;588.81842;70.07542;669.83664;323.4705;683.4126;483.58488;371.31419;456.862;594.88812;153.71891;366.32921;478.43286;713.60152;589.92413;329.51996;468.85937;492.42813;481.65106;258.36995;731.65765;289.81858;361.10836;1245.78042;1098.14164;1010.26624;868.59755;494.58954;494.58954;312.51533;574.36455;703.50312;597.35536;910.5054;1214.4458;1222.33077;763.79924;773.2856;1171.43393;1537.82245;1339.17519;1226.06237;746.17753;1002.06292;1340.42133;1532.95596;1232.97201;1569.22746;1848.95253;2055.85203;1331.43346;1555.18249;2017.40816;2332.14024;2503.59318;2456.61434;1721.5767;2600.97232;1520.19078;2554.95744;2399.85939;3525.12506;3779.81337;1611.38013;2025.84273;317.5321;1018.89566;2107.896;1614.88707;1207.58347;3906.64887;1439.80037;1124.12794;1565.64259;1382.33377;3134.56503;814.32064;1877.06918;2654.5413;3286.00998;3910.30545;3232.53811;2320.29165;2790.37369;1780.98792;1973.49146;3835.07634;2751.57016;2643.3407;1671.68423;2762.85648;2829.37201;1343.62101;2836.01539
 İklimlendirme Sanayii;TEKIRDAĞ;1800.13112;1888.05047;1448.96081;1534.91355;1379.73114;1401.24089;1586.84111;1437.4118;2013.64138;1754.71356;1810.07748;1693.41163;1602.67516;1222.72984;1776.51667;1295.51501;2024.5172;933.24233;2063.08952;4297.36325;2192.88606;1519.89488;2012.55282;2328.94235;2427.37689;2723.18433;2028.06542;1836.61087;2495.63972;2912.63708;3681.2542;3222.71828;2674.04835;3797.8376;2644.40528;2530.96807;2912.74002;2732.39293;2465.32801;2465.32801;2920.05939;3739.74123;3523.06682;4011.1459;4160.28518;3810.42048;4047.43161;3152.44231;3463.9286;4607.17393;4601.89894;4867.57045;3487.51141;3984.15567;4467.88455;3527.74616;4757.5494;1682.08443;4103.38706;2481.49702;4280.57611;3260.06667;2211.19439;2420.23786;2683.4234;3365.97112;2868.7362;1824.11905;2360.24741;4252.83562;2913.74991;2200.93902;3601.99153;3305.92316;3428.73329;4372.70179;3691.90104;4104.01609;5761.54118;4574.05305;3959.51528;5998.05179;3623.29062;3853.23003;4323.4439;3999.45835;4296.14734;4092.59477;3523.46448;4947.85883;4883.13363;7216.41328;6454.25488;5013.72017;4854.61719;3489.24618;5069.79256;4012.75338;4334.91946;3920.59486;4227.84759;3659.82966;5877.82937;5099.14906;5874.69508
 Kimyevi Maddeler ve Mamulleri  ;TEKIRDAĞ;10541.13839;9266.49893;7163.47182;9190.19307;10651.78509;9129.39196;8708.50121;7869.32367;7857.44327;8588.48193;7904.79984;8085.48248;9262.1312;8432.32784;10653.68807;8213.38279;10361.16655;8058.07004;9667.89577;9891.16369;10759.31624;7951.63491;6266.70026;9794.48826;9061.57667;10069.0285;10915.1889;8466.69345;8818.68512;10144.97567;11569.15772;10925.92977;9985.20249;10224.35779;9222.57304;11029.08278;10409.85816;11400.57733;11827.63395;11827.63395;11063.28341;11253.48071;14229.32751;10289.43085;11918.82922;10828.09209;9753.83865;9300.34759;11396.56537;12975.76714;12414.06817;11414.55805;10327.04934;11151.13119;12216.62493;12812.70883;13961.33404;8700.71773;10832.42042;10645.34715;10746.50547;11174.55138;10806.5924;10486.02971;11799.96362;11892.89158;10173.98342;7246.30903;8391.91948;12304.69904;12738.5377;12556.11432;16577.1068;19258.59234;16722.79993;16975.35496;15223.79453;17055.52739;21041.08556;21849.6285;19095.44956;23596.19322;16386.95286;19630.14603;23216.96604;17905.86448;21930.90906;19450.96863;19427.73829;24466.13958;24551.17655;26670.26809;25126.31021;19486.75215;27783.58291;17165.93063;25984.80387;23665.81597;27226.4329;21080.59508;25039.95728;21692.0698;27523.73536;27353.14267;29030.84179
 Kuru Meyve ve Mamulleri  ;TEKIRDAĞ;0.0;6.82934;0.0;0.0;0.45485;0.82976;0.03033;0.0;0.0;25.27215;0.0;0.0;2.57559;28.19994;0.0;2.94047;24.07743;0.54361;0.0;3.09532;3.5166;0.0;0.0;0.0;0.0;0.01742;0.0;2.99684;0.0;0.0;0.0;1.83344;0.0;0.0;17.87284;2.02985;0.0;17.12057;0.0;0.0;0.0;1.05961;5.29671;0.0;0.0;6.64796;0.0;2.08102;5.28141;10.65892;11.284;16.51029;0.0;0.0;0.0;0.0;18.77332;9.36362;0.0;0.0;0.0;0.0;7.61622;0.0;0.0;6.8245;5.36137;16.2813;0.38663;3.56594;5.41614;0.0;3.55442;4.87841;55.89189;2.3754;7.22787;0.0;0.18848;4.52891;0.0;2.46115;3.05661;2.47624;0.0;8.09551;5.27332;1.24384;31.00541;7.28128;0.0;0.0;23.37574;31.25692;13.09378;0.0;23.34118;34.91164;59.39429;0.0;0.0;28.61352;6.04294;37.18652;1.85824
 Madencilik Ürünleri;TEKIRDAĞ;1336.21121;345.98352;927.81026;952.43754;458.43172;662.32041;563.93687;895.94119;714.75046;464.50418;250.60186;456.39115;260.87924;376.15392;505.85009;978.61787;732.2129;650.23461;1081.06792;964.65765;585.92005;1084.06582;322.5018;784.24513;863.29497;1577.58422;1138.96159;776.60085;678.35752;796.45002;813.61397;1492.70363;1416.57139;1395.43712;677.78265;1059.35147;423.81692;693.92177;1057.59704;1057.59704;1065.06458;440.85994;525.03165;939.89782;526.45025;731.80308;695.3007;666.33297;929.56239;736.03316;775.62735;637.2318;296.02446;360.12888;402.40281;725.16928;865.62488;636.07217;436.02063;318.9335;406.13842;468.00387;890.3897;520.69519;896.39333;520.407;490.06176;260.89732;368.26731;593.46359;323.59967;401.98941;1288.57642;401.769;501.39143;665.41421;273.84746;674.40175;410.83423;543.90157;958.87762;814.33685;902.16175;730.45177;443.85869;393.27614;326.89119;507.4226;728.90342;563.01538;811.93273;566.70115;315.15704;527.42388;473.41644;872.1749;745.73206;675.65946;455.53489;382.78292;885.47612;824.99305;1017.40586;1081.13405;396.32768
 Makine ve Aksamları;TEKIRDAĞ;3243.24617;5048.0295;4393.87199;2782.76335;3033.80749;1926.2794;2178.14978;3914.05237;3938.99512;1906.53289;3031.74072;2343.3991;3444.42276;4875.81873;4040.82395;3497.71934;3288.0882;2892.32541;2940.23326;3048.90489;2204.68505;2549.53434;3257.64097;3596.52534;3776.64906;3933.87895;1812.13286;3923.96516;2977.6618;4691.43018;6376.00749;3305.33565;4551.89842;3738.87187;7022.33785;5344.62711;5148.19044;5896.25046;4625.15187;4625.15187;5269.54349;5339.37142;7273.54989;5560.08398;6996.24509;5710.25751;7088.86931;5698.18064;4969.17638;7820.87294;7755.31363;7008.34364;6554.34697;6049.8339;7825.23694;6251.9996;7670.59184;3636.96198;9305.90715;6683.91911;8063.93196;8258.90768;7890.58039;7414.05141;8940.65491;8494.07345;6290.79588;4827.38685;3703.1097;8543.0145;5131.01924;6778.67571;8544.42286;9402.51921;8873.57228;12722.3494;9414.59216;10908.49091;11279.45023;8837.77481;13865.99706;13765.73192;7470.36405;11913.41571;13943.13166;11998.13502;13348.58327;11981.82389;12268.81652;15911.49651;15553.75767;19856.75644;15338.21016;11393.40099;15200.55548;11229.06066;19438.44687;11874.26464;13393.91872;13174.60854;15059.14697;17741.10254;16513.85271;14051.63025;14679.79215
 Meyve Sebze Mamulleri ;TEKIRDAĞ;22.00417;35.51302;0.0;30.68537;4.28696;12.92332;40.04929;16.71241;15.4909;18.04717;5.70459;8.7578;40.18;12.9971;9.15233;16.93019;13.00768;10.55327;35.85753;4.83291;7.07331;19.11675;0.0;65.71885;7.99775;0.0;0.0;6.97544;3.31818;0.0;19.16285;4.60749;2.47374;0.06717;3.87799;2.69459;0.0;13.88602;17.72426;17.72426;11.96038;14.9367;1.8875;0.0;1454.82995;1138.36069;604.47792;718.07913;1110.07405;169.90364;392.28562;62.14905;550.43137;277.92188;111.87733;468.23219;556.0809;1010.33272;1083.79504;949.4251;1070.81947;462.20001;409.79611;240.75032;43.27076;5.76;342.57158;485.53147;376.11346;133.78354;494.52732;259.71474;718.63174;184.07529;131.76073;361.4127;41.27775;372.09231;512.57987;484.99782;487.86625;631.38729;493.76802;1142.94891;1395.68652;917.35916;437.53175;176.11372;2.91096;3.74517;36.0459;254.51751;687.96692;148.85878;963.13649;392.1175;796.81343;482.94656;185.0764;203.93005;225.37436;249.95324;387.78151;387.89947;833.82728
